run,bits
0,1100000111010011101101000010010110010001010011010000010011110000
1,1100000111010011101101000010010110010001010011010000010011110000
2,1100000111010111101101000010010110010011010011010000010011110001
3,1100000111010111101101000010010110010011010011010000010011110001
4,1100100111010111101101000110010110010011010011010000010011110001
5,1100000111010111101101000010010110010011010011010000010011110001
6,1100000111010111101101000010010110010011010011010000010011110000
7,1100000111010011101101000010010110010001010011010000010011110000
8,1100000111010011101101000010010110010001010011010000010011110000
9,1100000111010011101101000010010110010001010011010000010011110000
10,1100000111010011101101000010010110010001010011010000010011110000
11,1100000111010111101101000010010110010011010011010000010011110001
12,1100100111010111101101000110010110010011010011010000010011110001
